ID,c__ID,brand,c__brandName
40239344,,,Quirelli
40584642,,,Diesel
40004136,,,Garrett Leight
38372969,,,Polo Ralph Lauren
41769400,,,AllSaints
40294693,,,Scappino
31717774,,,Carolina Herrera
39988825,,,Garrett Leight
40788739,,,Boss
40491679,,,
40216064,,,Ermenegildo Zegna
40444047,,,
40867034,,,The North Face
39938432,,,Boss
40567225,,,Calvin Klein
39560915,,,Carrera
40677011,,,Levi's
40552729,,,
40033862,,,Carrera
40654068,,,Adolfo Dominguez
39724722,,,Ray Ban
39624682,,,Corneliani
40870270,,,
40567927,,,Salvatore Ferragamo
40200092,,,Calvin Klein
40241737,,,Roberto Verino
40561157,,,Boss
39999398,,,Givenchy
40846310,,,Tommy Hilfiger
40799261,,,Ted Baker
39156792,,,The North Face
40560325,,,
39549405,,,Pal Zileri
39120409,,,Levi's
40200144,,,Calvin Klein
40585446,,,Diesel
40800140,,,Polo Ralph Lauren
40400205,,,Cuadra
40100692,,,Karl Lagerfeld
40589409,,,Converse
40226315,,,Tane
42029126,,,Nautica
40074807,,,Herschel Supply & Co.
40872802,,,Conair
41741323,,,Fjällräven
40279857,,,Hugo Boss
40855231,,,Joe S
40284287,,,Boss
40587806,,,Psycho Bunny
40671724,,,Emporio Armani
40885324,,,Steve Madden
40306085,,,K-Swiss
40317154,,,Montblanc
40675087,,,Tommy Hilfiger
40303660,,,All Saints
37777559,,,Vilebrequin
18087693,,,Ciba
39453391,,,Pineda Covalin
39835278,,,Maui Jim
39598519,,,Montblanc
40557007,,,Salvatore Ferragamo
40495800,,,AllSaints
40445888,,,La Martina
36232948,,,Victorinox
39016637,,,Lacoste
40819133,,,
40560521,,,Boss
39654551,,,Michael Kors
40493528,,,Versace
40324209,,,Springfield
38707167,,,Dr. Martens
40787610,,,Epsilon
38928652,,,Eugenia
40157720,,,John Varvatos
38612194,,,Bomberg
40654014,,,Adolfo Dominguez
39926308,,,Brantano
40812450,,,Camper
40758110,,,Polo Ralph Lauren
41664894,,,Montblanc
39316502,,,Steve Madden
39530395,,,Pineda Covalin
40031174,,,Armani
40545919,,,Nautica
40405897,,,Converse
40635610,,,Levi's
40040569,,,Michael Kors
40017588,,,Call It Spring
38142175,,,
39548146,,,Birkenstock
41745613,,,Michael Kors
39942259,,,Nike
40529731,,,Roberto Verino
30241170,,,Levi's
19309293,,,Theo Frazier
39344812,,,Diesel
40135195,,,Tommy Hilfiger
40767947,,,Boss
40811618,,,Polo Ralph Lauren
40788481,,,Boss
38584853,,,O Meccanica
40145532,,,Scappino
40309707,,,Boggi
40416042,,,Aldo
40156547,,,Ted Baker
39935185,,,Pineda Covalin
40951791,,,Punto Blanco
37726592,,,Hickok
40652343,,,ARMANI EXCHANGE
41019500,,,Boss
40534599,,,Paul & Shark
37001837,,,Victorinox
38278413,,,Vilebrequin
39839577,,,Sidi
40655632,,,Adolfo Dominguez
12274246,,,Clarins
40411549,,,Chester & Peck
41744156,,,Balenciaga
18919437,,,Levi's
39233638,,,Steve Madden
39606838,,,Florentino
39893872,,,Vans
40522727,,,Polo Ralph Lauren
41663930,,,Polo Ralph Lauren
39686916,,,Ray Ban
40851241,,,
40857350,,,
40582434,,,Daniel Wellington
39683070,,,Salvatore Ferragamo
40114318,,,Lacoste
40780308,,,Kenneth Cole
36182686,,,L Occitane
40613070,,,Calvin Klein
39817720,,,Catamaran
40596871,,,Garmin
36793348,,,Hugo Boss
40799484,,,Tane
40841777,,,Polo Ralph Lauren
40021566,,,Boss
40113597,,,Dockers
40034404,,,Joe S
40012628,,,Barberia Capital
36296204,,,Ray Ban
40788913,,,Boss
40193072,,,Caterpillar
39929573,,,Catamaran
40743039,,,Florsheim
40155469,,,The North Face
40135292,,,Joe S
39988831,,,Garrett Leight
39616827,,,Calvin Klein
17181410,,,Alfani
40092760,,,Levi's
40115885,,,Polo Ralph Lauren
40866017,,,Diadora
39804540,,,Bolon
40800104,,,Polo Ralph Lauren
40279890,,,Boss
40294719,,,Scappino
40430724,,,Adidas
39628396,,,Burberry
42167385,,,Perry Ellis
40548622,,,
40801108,,,Polo Ralph Lauren
40226611,,,Rockport
