ID,c__ID,brand,c__brandName 
40238320,,Adolfo Dominguez,Adolfo Dominguez
40021381,,Boss,Boss
40285002,,Boss,Boss
40479312,,Epsilon,Epsilon
36246646,,Calvin Klein,Calvin Klein
37157763,,Caterpillar,Caterpillar
39197521,,Pineda Covalin,Pineda Covalin
39686965,,Ray Ban,Ray Ban
40101632,,Tommy Hilfiger,Tommy Hilfiger
40856872,,Pineda Covalin,Pineda Covalin
40745007,,Hackett,Hackett
39938514,,Hugo Boss,Hugo Boss
36725740,,Pineda Covalin,Pineda Covalin
41758390,,Happy Socks,Happy Socks
40317209,,Montblanc,Montblanc
18476082,,Jean Pierre,Jean Pierre
39530385,,Pineda Covalin,Pineda Covalin
17201386,,Polo Ralph Lauren,Polo Ralph Lauren
40269234,,Michael Kors,Michael Kors
40073004,,Theo Frazier,Theo Frazier
40560666,,,
42180092,,Flexi,Flexi
39289383,,Ermenegildo Zegna,Ermenegildo Zegna
39296197,,Guess,Guess
40363632,,,
37378444,,,
40285578,,Boss,Boss
40561059,,Boss,Boss
20188977,,Hickok,Hickok
42120945,,Boss,Boss
40538894,,Calvin Klein,Calvin Klein
40014899,,Corneliani,Corneliani
38118913,,Scalpers,Scalpers
39904294,,Chester & Peck,Chester & Peck
40279912,,Boss,Boss
40841442,,Boggi,Boggi
40507657,,Tommy Hilfiger,Tommy Hilfiger
39482636,,Maui Jim,Maui Jim
40168107,,Kenneth Cole,Kenneth Cole
38168166,,Salvatore Ferragamo,Salvatore Ferragamo
40319313,,Tommy Hilfiger,Tommy Hilfiger
40020045,,Boss,Boss
40176374,,DOLCE & GABANNA,DOLCE & GABANNA
40498065,,Vilebrequin,Vilebrequin
40539611,,Boss,Boss
40379994,,Franco Cuadra,Franco Cuadra
40841978,,Boggi,Boggi
40846904,,Sandro,Sandro
41760903,,Quirelli,Quirelli
40523403,,Polo Ralph Lauren,Polo Ralph Lauren
40273085,,Magnanni,Magnanni
40636215,,Polo Ralph Lauren,Polo Ralph Lauren
40452661,,Chester & Peck,Chester & Peck
40145457,,Scappino,Scappino
40552139,,Versace,Versace
40654112,,Adolfo Dominguez,Adolfo Dominguez
40788473,,Boss,Boss
40552395,,Versace,Versace
40021811,,Hugo Boss,Hugo Boss
40264974,,Joe S,Joe S
41663727,,Polo Ralph Lauren,Polo Ralph Lauren
40543309,,Tommy Hilfiger,Tommy Hilfiger
42164476,,Replay,Replay
40019019,,Salvatore Ferragamo,Salvatore Ferragamo
40545934,,Epsilon,Epsilon
40555904,,Lacoste,Lacoste
38852524,,Vilebrequin,Vilebrequin
37516045,,Pineda Covalin,Pineda Covalin
40014665,,Hex,Hex
40816034,,Aldo,Aldo
40485607,,Chester & Peck,Chester & Peck
42055569,,Catamaran,Catamaran
36184787,,Novios de Protocolo,Novios de Protocolo
39938344,,Hugo Boss,Hugo Boss
40433451,,Supra,Supra
36954213,,Altezza Rock,Altezza Rock
39639894,,,
39606295,,Coach,Coach
39884108,,Perry Ellis,Perry Ellis
38933836,,Original Penguin,Original Penguin
40658808,,Scappino,Scappino
40317152,,Montblanc,Montblanc
39598529,,Montblanc,Montblanc
40558096,,Dolce & Gabanna,Dolce & Gabanna
40063236,,Novios de Protocolo,Novios de Protocolo
40181258,,Tommy Hilfiger,Tommy Hilfiger
39994029,,UNO DE 50,UNO DE 50
39789314,,Tommy Jeans,Tommy Jeans
40123280,,Polo Ralph Lauren,Polo Ralph Lauren
40967318,,Fjällräven,Fjällräven
40409652,,The North Face,The North Face
40235139,,Quirelli,Quirelli
39679261,,Penguin,Penguin
39700618,,Dockers,Dockers
39978239,,Franco Cuadra,Franco Cuadra
